Name,Realm,Character,Tier,Element,Type,Owned
Surging Darkness,IV,Kain,USB,Lightning Dark,PHY,False
Impulse Drive,IV,Kain,Chain,Lightning,PHY,False
Lightning Bond (Kain),IV,Kain,Chain4,Lightning,PHY,False
Dragoon Dive,IV,Kain,ASB,Lightning,PHY,False
Evil Tornado Dive,IV,Kain,ASB,Dark,PHY,False
Draconinc Tempest,IV,Kain,GL,Lightning,NA,True
Dragon's Descent,IV,Kain,GL2,NE,NA,True
Primed Jump,IV,Kain,GL2,NE,NA,False
Lance of the Dragon,IV,Kain,AW,Lightning,PHY,True
Raging Dragoon,IV,Kain,AW,Lightning Dark,PHY,False
Blood Dragoon,IV,Kain,Sync,Lightning,PHY,False
Cross Javelin,IV,Kain,Sync,Lightning Dark,PHY,True
Lightning Raiment (Kain),IV,Kain,GLB,Lightning,NA,False
Dual Dragon Dive,IV,Kain,OLB,Lightning Dark,PHY,False
Apex Jump,IV,Kain,AD,Lightning,PHY,False
Awoken Gungnir,IV,Kain,DuAW,Lightning,PHY,False
Radiant Breath,IV,Rydia,Unique,Holy,MAG,True
Summon Eidolon II,IV,Rydia,Unique,Ice,MAG,True
Odin,IV,Rydia,SSB,NE,MAG,False
Mournful Cry,IV,Rydia,BSB,Earth,MAG,False
Law of the Eidolons,IV,Rydia,BSB,Holy Water,MAG,True
Eidolon Emissary,IV,Rydia,OSB,Earth Water Holy,MAG,True
Lord of the Seas,IV,Rydia,USB,Water,MAG,True
Fated Encounter,IV,Rydia,USB,Water,MAG,False
Raging Giant,IV,Rydia,USB,Earth,MAG,True
Past and Present,IV,Rydia,ASB,Earth Water Holy,MAG,True
Secret of Mist,IV,Rydia,GL,NE,NA,False
Secret of the Eidolons,IV,Rydia,GL2,Earth,NA,False
Mist Wall,IV,Rydia,GL2,Earth Water Holy,NA,False
Feymarch Power,IV,Rydia,GL2,Water Earth Holy,MAG,False
Summon Eidolon King,IV,Rydia,AW,Earth Water Holy,MAG,True
Feymarch Frontier,IV,Rydia,AW,Earth Water Holy,MAG,True
Broken Heart,IV,Rydia,Sync,Water,MAG,False
Eidolon Zanzetsuken,IV,Rydia,Sync,Earth,MAG,False
Holy Burst,IV,Rydia,Sync,Holy,MAG,True
Eidolon Confidante,IV,Rydia,OLB,Earth Water Holy,MAG,True
Water Raiment (Rydia),IV,Rydia,GLB,Water,NA,False
Gaia's Wrath,IV,Rydia,AD,Earth,MAG,False
Deluge (IV),IV,Rydia,AD,Water Holy,MAG,True
Call Me Queen,IV,Rydia,AD,Water,MAG,False
Guardian Titan,IV,Rydia,Guardian,Earth,MAG,False
Awoken Lord of the Seas,IV,Rydia,DuAW,Water,MAG,False
Awoken Mournful Cry,IV,Rydia,DuAW,Earth,MAG,False
Divine Favor,IV,Rosa,Unique,NE,NA,False
Miracle,IV,Rosa,Unique,NE,NA,False
Divine Heal,IV,Rosa,SSB,NE,NA,True
Holy Ray,IV,Rosa,BSB,Holy,MAG,True
Benediction,IV,Rosa,USB,NE,NA,False
White Mage Wonder (IV),IV,Rosa,USB,NE,NA,True
Divine Guard,IV,Rosa,GL,NE,NA,True
Divine Shelter,IV,Rosa,GL2,NE,NA,False
Sacred Healing,IV,Rosa,AW,NE,NA,False
Theme of Love,IV,Rosa,Sync,NE,NA,False
White Angelus,IV,Rosa,Sync,Holy,MAG,False
fabled Song,IV,Edward,Unique,NE,NA,False
Song of Swiftness,IV,Edward,Unique,NE,NA,False
Soulsong,IV,Edward,SSB,NE,NA,False
Whisperweed Ballad,IV,Edward,BSB,Holy,PHY,True
Hero's Rime,IV,Edward,USB,NE,NA,False
Mirage Song,IV,Edward,USB,NE,NA,False
Song of Hope,IV,Edward,Chain2,Holy,MAG,True
Paean Echoes,IV,Edward,GL,Holy,NA,False
Take Heart!,IV,Edward,AW,NE,NA,True
King's Quad,IV,Edward,Sync,NE,NA,False
Sylph's Providence,IV,Yang,Unique,NE,PHY,True
Exploding Volcano Kick,IV,Yang,SSB,Earth,PHY,False
Seven-Star Heavenly Fist,IV,Yang,BSB,Earth,PHY,False
Shuddering Fist,IV,Yang,USB,Earth,PHY,True
Fist Dance,IV,Yang,ASB,Earth,PHY,True
Concentrate (IV),IV,Yang,GL,Earth,NA,True
Kick Fest,IV,Yang,AW,Earth,PHY,False
Oboro Strike,IV,Yang,Sync,Earth,PHY,False
Chaincast Boltstorm,IV,Palom,SSB,Lightning,MAG,False
Twincast Magic Barrage,IV,Palom,SSB,Holy Fire Lightning,MAG,False
Tri-disaster,IV,Palom,BSB,Fire Ice Lightning,MAG,True
Thunderstorm,IV,Palom,USB,Ice Lightning,MAG,False
Particle Bomb,IV,Palom,USB,Fire Ice Lightning,MAG,True
Extreme Thunder,IV,Palom,ASB,Fire Ice Lightning,MAG,False
Black Magic Touch,IV,Palom,GL,NE,NA,True
Thunder Cross,IV,Palom,GL2,Lightning,NA,False
Brilliant Swagger,IV,Palom,GL2,Fire Ice Lightning,NA,False
Thunderous Malady,IV,Palom,AW,Lightning,MAG,False
True Thunderstorm,IV,Palom,AW,Fire Ice Lightning,MAG,False
Coordinated Twin Meteor,IV,Palom,Sync,Fire Ice Lightning,MAG,True
Triple Crush,IV,Palom,OLB,Fire Ice Lightning,MAG,False
Lightning Raiment (Palom),IV,Palom,GLB,Lightning,NA,False
Lightning Bond (Palom),IV,Palom,Chain4,Lightning,MAG,False
Infinity,IV,Palom,AD,Lightning Fire Ice,MAG,False
Awoken Tri-Disaster,IV,Palom,DuAW,Lightning Fire Ice,MAG,False
Sync,IV,Porom,SSB,NE,NA,False
Twin Star,IV,Porom,SSB,NE,NA,False
Healing Wind (IV),IV,Porom,BSB,NE,NA,False
Pure White Magic,IV,Porom,USB,NE,NA,False
Corrdinated Renew,IV,Porom,USB,NE,NA,False
Pray (IV),IV,Porom,USB,NE,NA,False
White Magic Touch,IV,Porom,GL,NE,NA,True
Mysidian Guard,IV,Porom,GL2,NE,NA,False
White Magic Waypoint,IV,Porom,AW,NE,NA,False
Bond Flash (Porom),IV,Porom,GLB,NE,NA,False
Sync Renew,IV,Porom,Sync,NE,NA,False
Twincast Curaga,IV,Porom,Sync,Lightning,MAG,False
Font of Wisdom,IV,Tellah,Unique,NE,NA,False
Dire Meteor,IV,Tellah,Unique,NE,MAG,True
Last Gasp,IV,Tellah,SSB,NE,NA,True
Sage's Sagacity,IV,Tellah,BSB,Earth,MAG,True
Sage's Resolve,IV,Tellah,USB,Earth,MAG,False
Grand Astron,IV,Tellah,USB,Earth,MAG,False
Sage's Stone Ward,IV,Tellah,Chain3,Earth,MAG,False
Sage's Scar,IV,Tellah,ASB,Earth,MAG,False
Resonating Strata,IV,Tellah,GL2,Earth,NA,False
Sage's Will,IV,Tellah,GL2,NE,NA,False
Sage's Revelation,IV,Tellah,AW,Earth,MAG,False
Earth Vortex,IV,Tellah,AW,Earth,MAG,False
Sage's Remembrance,IV,Tellah,Sync,Earth,MAG,True
Earth Flash (Tellah),IV,Tellah,GLB,Earth,MAG,False
Eblan Water Veil,IV,Edge,Unique,Water,PHY,False
Eblan Dual Wield,IV,Edge,Unique,Lightning,PHY,True
Inferno (IV),IV,Edge,SSB,Fire,PHY,False
Eblan Doppelganger,IV,Edge,SSB,NE,NA,True
Seething Waters,IV,Edge,BSB,Water,PHY,True
Chaotic Moon,IV,Edge,USB,Water Lightning,PHY,False
Noxious Fangs,IV,Edge,USB,Water Poison,PHY,False
Chain of Water,IV,Edge,Chain,Water,PHY,True
Eblan Universe,IV,Edge,ASB,Water Fire Lightning,PHY MAG,False
Azure Flash,IV,Edge,GL2,NE,NA,True
Eblan Discipline,IV,Edge,GL2,Water Fire Lightning,NA,False
Triune,IV,Edge,AW,Water,PHY MAG,True
Eblan Harmony,IV,Edge,Sync,Water Fire Lightning,PHY MAG,True
Eblan Lotus,IV,Edge,OLB,Water Fire Lightning,PHY,False
Ultimate Art: Advent of Phoenix,IV,Edge,AD,Water Fire Lightning,PHY MAG,False
Lunar Auspice,IV,Fusoya,Unique,NE,MAG,True
Lunarian Might,IV,Fusoya,SSB,NE,NA,True
Lunarian Prayer,IV,Fusoya,BSB,Holy,MAG,False
Lunarian Enigma,IV,Fusoya,USB,Holy,MAG,True
Lunarian Longing,IV,Fusoya,Chain2,ALL,PHY MAG,True
Lunarian Fury,IV,Fusoya,ASB,Holy,MAG,False
Lunar Blessing,IV,Fusoya,GL2,Holy,MAG,False
Lunar Beam,IV,Fusoya,GL,Holy,NA,True
Lunarian Spirit,IV,Fusoya,AW,Holy,MAG,False
Supersault Magic,IV,Fusoya,AW,Holy,MAG,False
Lunar Lineage,IV,Fusoya,Sync,Holy,MAG,False
Prayer to the Moon,IV,Fusoya,OLB,Holy,MAG,False
Apex Double Black Magic,IV,Fusoya,AD,Holy,MAG,False
Awoken Lunarian Prayer,IV,Fusoya,DuAW,Holy,MAG,False
Black Fang,IV,Golbez,Unique,NE,MAG,False
Nightglow,IV,Golbez,Unique,Dark,MAG,False
Genesis Rock,IV,Golbez,SSB,Dark,MAG,True
Cosmic Ray,IV,Golbez,SSB,Dark,MAG,False
Twin Moon,IV,Golbez,BSB,Dark,MAG,False
Abyssal Quasar,IV,Golbez,BSB,Dark,MAG,True
Master of Baron,IV,Golbez,USB,Dark,MAG,False
Creature of Shadow,IV,Golbez,USB,Dark,MAG,False
Darkbind Miasma,IV,Golbez,Chain2,Dark,MAG,False
Archfiend Shadow Wave,IV,Golbez,ASB,Dark,MAG,False
Cloaked in Night,IV,Golbez,GL,Dark,NA,True
Chaos Barrier,IV,Golbez,GL2,Dark,NA,True
Dark Dungeon,IV,Golbez,AW,Dark,MAG,True
Dark Meteor,IV,Golbez,Sync,Dark,MAG,True
Dark Glow,IV,Golbez,Sync,Dark,MAG,False
Apex Shadow Dragon,IV,Golbez,AD,Dark,MAG,False
True Shadow Dragon,IV,Golbez,OLB,Dark,MAG,False
Awoken Dark Dungeon,IV,Golbez,DuAW,Dark,MAG,False
Jump Start,IV,Cid (IV),SSB,Lightning,PHY,False
Monkey Wrench,IV,Cid (IV),SSB,NE,PHY,False
Falcon Drill,IV,Cid (IV),BSB,Lightning,PHY,False
X Chaser,IV,Cid (IV),USB,Lightning,PHY,False
Lightning Stamp,IV,Cid (IV),USB,Lightning,PHY,True
Thor's Mighty Hammer,IV,Cid (IV),ASB,Lightning,PHY,True
So Young!,IV,Cid (IV),GL2,Lightning,NA,False
Engineer's Trial,IV,Cid (IV),AW,Lightning,PHY,False
Machine Break,IV,Cid (IV),AW,Lightning,PHY,False
Rocket Launcher,IV,Cid (IV),Sync,Lightning,PHY,False
Weapon in Progress,IV,Cid (IV),AD,Lightning,PHY,True
Awoken X Chaser,IV,Cid (IV),DuAW,Lightning,PHY,False
Cross Slash (IV),IV,Ceodore,SSB,Holy,PHY,False
Holy Cross,IV,Ceodore,BSB,Holy,PHY,True
Trinity Slash,IV,Ceodore,USB,Holy Lightning,PHY,False
Twin Rush,IV,Ceodore,USB,Holy,PHY,False
Holy Fellowship,IV,Ceodore,Chain2,Holy,PHY,False
Gleam Thruster,IV,Ceodore,ASB,Holy,PHY,False
Cross Charge,IV,Ceodore,GL2,NE,NA,False
Lunar Force,IV,Ceodore,GL2,Holy,NA,False
Shimmering Cross,IV,Ceodore,AW,Holy,PHY,True
Advanced Blade,IV,Ceodore,Sync,Holy,PHY,True
Vibra Plus,IV,Ceodore,OLB,Holy,PHY,False
Divine Flash (Ceodore),IV,Ceodore,GLB,Holy,PHY,True
Vibra Final,IV,Ceodore,AD,Holy,PHY,False
Fire Exemplar,IV,Rubicante,SSB,Fire,MAG,False
Trueflame Inferno,IV,Rubicante,BSB,Fire,MAG,True
Point-Blank Inferno,IV,Rubicante,USB,Fire Dark,MAG,False
Searing Flame,IV,Rubicante,Chain2,Fire,MAG,True
Apocalypse Inferno,IV,Rubicante,ASB,Fire,MAG,False
Whirling Blaze,IV,Rubicante,GL2,Fire,NA,False
Chivalrous Foe,IV,Rubicante,GL2,NE,NA,False
Cremation,IV,Rubicante,AW,Fire,MAG,True
Crimson Magefire,IV,Rubicante,AW,Fire,MAG,False
Flamespire Warrior,IV,Rubicante,Sync,Fire,MAG,False
Apex Inferno,IV,Rubicante,AD,Fire,MAG,False
Flamelord's Flail,IV,Rubicante,OLB,Fire,MAG,False
Awoken Fire Exemplar,IV,Rubicante,DuAW,Fire,MAG,False
Chakra (IV),IV,Ursula,SSB,NE,NA,True
Five Star Crimson Palm,IV,Ursula,BSB,Earth Fire,PHY,False
Crushing Fist,IV,Ursula,USB,Earth Fire,PHY,False
Gaia Chakra,IV,Ursula,USB,Earth,NA,False
Moonflower Skyfall,IV,Ursula,ASB,Earth Fire,PHY,True
Assert Dominance,IV,Ursula,GL,NE,NA,False
Monastic Secret,IV,Ursula,GL2,NE,NA,False
Fist Flourish,IV,Ursula,AW,Earth Fire,PHY,False
Twin Wing Frenzy,IV,Ursula,Sync,Earth Fire,PHY,False
Maelstrom (IV),IV,Barbariccia,BSB,Wind,MAG,True
Whirlwind,IV,Barbariccia,USB,Wind,MAG,True
Secret Breeze,IV,Barbariccia,Chain3,Wind,MAG,False
Raging Squall,IV,Barbariccia,ASB,Wind,MAG,True
Eye of the Tornado,IV,Barbariccia,GL2,Wind,NA,False
Blustery Ruler,IV,Barbariccia,GL2,Wind,MAG,False
Storm of Darkness,IV,Barbariccia,AW,Wind Dark,MAG,True
Gale Warning,IV,Barbariccia,AW,Wind,MAG,False
Raging Wind,IV,Barbariccia,Sync,Wind,MAG,True
Harsh Wind,IV,Barbariccia,OLB,Wind,MAG,True
Apex Maelstrom (IV),IV,Barbariccia,AD,Wind,MAG,False
Awoken Raging Squall,IV,Barbariccia,DuAW,Wind,MAG,False
Royal Devotion,V,Lenna,Unique,NE,NA,False
Princess's Favor,V,Lenna,Unique,NE,NA,False
Flames of War,V,Lenna,Unique,NE,NA,True
Pride of Tycoon,V,Lenna,SSB,NE,NA,True
Phoenix of Tycoon,V,Lenna,BSB,Holy,MAG,False
Tender Mercy,V,Lenna,BSB,NE,NA,True
Tycoon Princess,V,Lenna,USB,NE,NA,True
Essence of Water,V,Lenna,USB,NE,NA,True
Moogle Boost,V,Lenna,USB,NE,NA,False
Princesses' Prayer,V,Lenna,USB,NE,NA,False
Tycoon's Protection,V,Lenna,GL2,NE,NA,True
Heartfelt Desire,V,Lenna,GL2,NE,NA,False
Greatest Love,V,Lenna,GL,NE,NA,True
Champion of Life,V,Lenna,AW,NE,NA,True
Spreading One's Wings,V,Lenna,AW,NE,NA,True
White Magic Mastery,V,Lenna,Sync,NE,NA,True
Benevolent Princess,V,Lenna,Sync,Fire,MAG,False
Awoken Champion of Life,V,Lenna,DuAW,NE,NA,False
Fist of the Dawn,V,Galuf,Unique,NE,PHY,True
Unyielding Fist,V,Galuf,Unique,NE,NA,False
Unshaken Resolve,V,Galuf,SSB,NE,PHY,True
Inner Peace,V,Galuf,SSB,Fire,NA,False
Renewed Vigor,V,Galuf,BSB,Earth Fire,PHY,False
Sweet Sorrow,V,Galuf,BSB,Fire Earth,PHY,False
Martial Might,V,Galuf,USB,Earth,NA,True
Heart and Soul,V,Galuf,USB,Earth Fire,PHY,True
Unending Toil,V,Galuf,USB,Earth,PHY,False
Immortal Soul,V,Galuf,Chain2,Earth,PHY,True
Closest Bonds,V,Galuf,ASB,Earth,PHY,False
Abiding Strike,V,Galuf,GL,Earth,PHY,False
Iron Valor,V,Galuf,GL2,Earth,NA,False
King of Bal,V,Galuf,GL2,Earth,NA,False
Laws of Nature,V,Galuf,AW,Earth,PHY,False
Dawn Combo,V,Galuf,AW,Earth,PHY,False
Dawn Unity,V,Galuf,Sync,Earth,PHY,True
Soul Successor,V,Galuf,Sync,Earth,PHY,True
Gaia Gazer,V,Galuf,OLB,Earth,PHY,True
Fantastic Symmetry,V,Gogo (V),SSB,NE,NA,True
Deep Aqua Breath,V,Gogo (V),BSB,Water,MAG,True
Sunken Rhapsody,V,Gogo (V),USB,Water,NA,True
Secret Revelation?,V,Gogo (V),Chain2,Water,MAG,True
Abyssal Revelation,V,Gogo (V),GL2,Water,NA,False
Deep Imitation,V,Gogo (V),GL,Water,NA,True
Undersea Fantasia,V,Gogo (V),AW,Water,MAG,False
Punishing Waterja,V,Gogo (V),AW,Water,MAG,False
Submarine Whirlpool,V,Gogo (V),Sync,Water,MAG,False
Aqua Breath Mastery,V,Gogo (V),OLB,Water,MAG,False
Death Claw,V,Gilgamesh,Unique,NE,PHY,False
Repentance,V,Gilgamesh,Unique,NE,PHY,True
Faithful Companion,V,Gilgamesh,SSB,NE,PHY,False
Gilgamesh Morphing Time,V,Gilgamesh,BSB,NE,PHY,True
Gilgamesh Scorching Time,V,Gilgamesh,BSB,Fire,PHY,False
Strange Bedfellow,V,Gilgamesh,OSB,NE,PHY,False
No Justice,V,Gilgamesh,USB,Fire,PHY,True
All's Fair,V,Gilgamesh,USB,NE,PHY,True
Supreme Deliverance,V,Gilgamesh,USB,Fire,PHY,False
Historic Splendor,V,Gilgamesh,Chain2,Fire,PHY,False
Weapons of War,V,Gilgamesh,ASB,Fire,PHY,True
Safe Bastion,V,Gilgamesh,GL,NE,NA,False
Time to Tussle!,V,Gilgamesh,GL2,NE,NA,False
Tested Mettle,V,Gilgamesh,GL2,Fire,PHY,False
I'm on Fire!,V,Gilgamesh,GL,Fire,NA,True
Swordmaster's Bravado,V,Gilgamesh,AW,Fire,PHY,False
Faithful Friends,V,Gilgamesh,AW,Fire,PHY,True
Future Ally,V,Gilgamesh,Sync,Fire,PHY,False
Captain's Duel,V,Gilgamesh,OLB,Fire,PHY,False
Big Bridge Battle,V,Gilgamesh,AD,Fire,PHY,False
Awoken Gilgamesh Scorching Time,V,Gilgamesh,DuAW,Fire,PHY,False
Blade Wing,V,Bartz,Unique,Wind,PHY,True
Choco Romp,V,Bartz,Unique,Wind,PHY,True
Lupine Barrage,V,Bartz,Unique,NE,PHY,True
Trueblade of Legend,V,Bartz,SSB,NE,PHY,True
Light of the Four,V,Bartz,BSB,Wind Water Fire Earth,PHY,False
Woken Water,V,Bartz,BSB,Water,PHY,False
Latent Power,V,Bartz,BSB,Earth Wind,PHY,False
Call of the Wind,V,Bartz,BSB,Wind,PHY,False
Call of the Flame,V,Bartz,BSB,Fire,PHY,True
Hand of the Crystals,V,Bartz,OSB,Wind Water Fire Earth,PHY,True
Chosen Traveler,V,Bartz,USB,Wind Water Fire Earth,PHY,True
Crystals' Chosen,V,Bartz,USB,Wind Water Fire Earth,PHY,True
Essence of Wind,V,Bartz,USB,Wind,PHY,False
Crystalline Focus,V,Bartz,ASB,Wind Water Fire Earth,PHY,True
Master Spellblade,V,Bartz,GL,NE,NA,True
Tetrad Beam,V,Bartz,GL,Wind Water Fire Earth,NA,False
Quest of the Four,V,Bartz,GL2,Wind,NA,False
Gaia's Favor,V,Bartz,GL2,Earth,NA,True
Fluid Power,V,Bartz,GL2,Water,NA,False
Blazing Power,V,Bartz,GL2,Fire,NA,True
Quadlight Crystal,V,Bartz,GL2,Wind Water Fire Earth,NA,False
Bond (Bartz),V,Bartz,Chain4,ALL,PHY MAG,False
Tetra Spellblade,V,Bartz,AW,Wind Water Fire Earth,PHY,True
Flame Awakening,V,Bartz,AW,Fire,PHY,True
Rousing Winds,V,Bartz,AW,Wind,PHY,False
Rousing Earth,V,Bartz,AW,Earth,PHY,False
Rousing Water,V,Bartz,AW,Water,PHY,False
Ethereal Bond,V,Bartz,Sync,Wind,PHY,False
Earthen Bond,V,Bartz,Sync,Earth,PHY,False
Aqueous Bond,V,Bartz,Sync,Water,PHY,False
Flaming Bond,V,Bartz,Sync,Fire,PHY,True
Element Bringer,V,Bartz,OLB,Wind Water Fire Earth,PHY,False
Master of Earth,V,Bartz,AD,Earth,PHY,False
Master of Wind,V,Bartz,AD,Wind,PHY,False
Master of Fire,V,Bartz,AD,Fire,PHY,False
Master of Water,V,Bartz,AD,Water,PHY,False
Awoken Rousing Winds,V,Bartz,DuAW,Wind,PHY,False
Awoken Rousing Earth,V,Bartz,DuAW,Earth,PHY,False
Kindred Spirit,V,Faris,Unique,NE,PHY,True
Sea Lord's Broadside,V,Faris,Unique,NE,PHY,False
Serpent's Gale,V,Faris,SSB,Wind Lightning,PHY,True
Beryl Serpent,V,Faris,BSB,NE,PHY,False
Landlubber Lambast,V,Faris,BSB,Wind Fire,PHY,False
Pirate Princess,V,Faris,USB,Wind,PHY,True
Phantom,V,Faris,USB,NE,PHY,False
Pirate Storm,V,Faris,USB,Wind,PHY,False
Essence of Flame,V,Faris,USB,Fire Wind,PHY,False
Eternal Bond,V,Faris,Chain2,Wind,PHY,True
Heartening Call,V,Faris,Chain3,ALL,PHY MAG,True
Blazing Bow,V,Faris,ASB,Wind Fire,PHY,False
Faithful Sea Dog,V,Faris,GL,Wind Fire,PHY,False
Pirate's Daring,V,Faris,GL,Wind Fire,NA,False
Syldra's Blessing,V,Faris,GL2,NE,NA,True
Pirate's Bravery,V,Faris,AW,Wind Fire,PHY,True
Flamestorm,V,Faris,AW,Wind Fire,PHY,False
Precious Friend,V,Faris,Sync,Wind Fire,PHY,False
Serpent's Roar,V,Faris,OLB,Wind Fire,PHY,False
Sea Sovereign,V,Faris,AD,Wind Fire,PHY,False
Awoken Essence of Flame,V,Faris,DuAW,Wind Fire,PHY,False
Winds of Home,V,Dorgann,SSB,Wind,PHY,True
Uncharted Lands,V,Dorgann,BSB,Wind Earth,PHY,True
Brotherhood of the Dawn,V,Dorgann,USB,Wind Earth,PHY,True
Protector of Worlds,V,Dorgann,ASB,Wind Earth,PHY,False
Last Word,V,Dorgann,GL,NE,NA,True
Dawn's Union,V,Dorgann,GL2,Earth,NA,False
Passing the Torch,V,Dorgann,AW,Wind Earth,PHY,False
Blade Lore,V,Dorgann,AW,Wind Earth,PHY,False
Resolute Flashing Blade,V,Dorgann,Sync,Earth,PHY,False
Warriors of Dawn,V,Dorgann,AD,Earth,PHY,False
Dark Earth Shaker,V,Exdeath,Unique,Dark,MAG,True
Grand Cross,V,Exdeath,Unique,NE,MAG,True
Power of the Void,V,Exdeath,SSB,Dark,MAG,True
Neo Almagest,V,Exdeath,SSB,Dark,MAG,False
Neo Black Hole,V,Exdeath,BSB,Dark,MAG,True
Neo Grand Cross,V,Exdeath,USB,Dark,MAG,True
Delta Hole,V,Exdeath,USB,Dark,MAG,True
Balance of Power,V,Exdeath,USB,Dark Holy,MAG,False
Dimensional Void,V,Exdeath,ASB,Dark Holy,MAG,False
Orbital Power,V,Exdeath,GL,Dark,NA,True
Orbital Energy,V,Exdeath,GL,Holy,NA,False
Unknown Orbit,V,Exdeath,GL2,Dark Holy,NA,False
Emptiness Break,V,Exdeath,AW,Dark Holy,MAG,False
Almagest,V,Exdeath,Sync,Dark,MAG,False
Space Disorder,V,Exdeath,Sync,Dark Holy,MAG,True
100 Gs,V,Exdeath,OLB,Dark Holy,MAG,False
Might of the Void,V,Exdeath,AD,Dark Holy,MAG,False
Wind Drake's Roar,V,Krile,Unique,NE,MAG,True
Sheepsong,V,Krile,SSB,NE,MAG,True
Unspoken Bond,V,Krile,SSB,NE,MAG,False
Tomorrow's Promise,V,Krile,BSB,Fire,MAG,False
Brimstone,V,Krile,BSB,Fire,MAG,True
Meteoric Assault,V,Krile,OSB,Fire,MAG,False
Gift of Hope,V,Krile,USB,Earth,MAG,False
Kindred Flame,V,Krile,USB,Fire,MAG,True
Terrestrial Incandescence,V,Krile,USB,Fire Earth,MAG,True
Cleansing,V,Krile,USB,Fire,MAG,True
Unbroken Chain,V,Krile,Chain,Fire,MAG,True
Dearest Friends,V,Krile,Chain2,ALL,PHY MAG,False
Gaia's Rage,V,Krile,ASB,Eart,MAG,False
Raging Hellfire,V,Krile,ASB,Fire,MAG,False
Cloud of Dust,V,Krile,GL,Earth,NA,True
Boundless Love,V,Krile,GL,Fire,NA,False
Ancestral Devotion,V,Krile,GL2,Fire Earth,MAG,False
Bestial Exodus,V,Krile,AW,Fire Earth,MAG,False
Baldesion Attack,V,Krile,Sync,Fire Earth,MAG,False
Inspiring Heart,V,Krile,Sync,Fire Earth,MAG,False
Starfall Devastation,V,Krile,OLB,Fire Earth,MAG,False
Earth Raiment (Krile),V,Krile,GLB,Earth,NA,False
Wind Drake's Back,V,Krile,AD,Fire,MAG,False
Endearing Strength,V,Krile,AD,Earth,MAG,False
Awoken Cleansing,V,Krile,DuAW,Fire Earth,MAG,False
Spellsword Iceshock,V,Xezat,SSB,Ice Lightning,PHY,False
Spellstorm Frostclash,V,Xezat,BSB,Ice Lightning,PHY,True
Spellstrike Rimebolt,V,Xezat,USB,Ice Lightning,PHY,True
Spellstrike Icecrusher,V,Xezat,USB,Ice Lightning Earth,PHY,False
Glacial Spark,V,Xezat,ASB,Ice Lightning Earth,PHY,False
Surgate Tactics,V,Xezat,GL2,NE,NA,False
Fleet Assault,V,Xezat,AW,Ice Earth Lightning,PHY,False
Spellskill Frostbreaker,V,Xezat,Sync,Ice Earth Lightning,PHY,False
Martial Legacy,V,Xezat,AD,Ice Earth Lightning,PHY,False
Lupine Howl,V,Kelger,SSB,NE,NA,False
Sonic Swiftness,V,Kelger,BSB,Earth Wind,PHY,False
Lupine Attack,V,Kelger,USB,Earth Wind,PHY,False
Lupine Boost,V,Kelger,ASB,Earth,PHY,True
Fury of the Wolf,V,Kelger,GL2,Earth,NA,False
Wolf Howl,V,Kelger,GL,Earth,PHY,False
True Lupine Attack,V,Kelger,AW,Earth,PHY,True
Lupine Force,V,Kelger,AW,Earth,PHY,False
Ferocious Alpha,V,Kelger,Sync,Earth,PHY,False
Dawn Guidance,V,Kelger,OLB,Earth,PHY,False
Apex Lupine Attack,V,Kelger,AD,Earth,PHY,False
Trance Fira,VI,Terra,Unique,Fire,MAG,True
Trance Flood,VI,Terra,Unique,Water,MAG,True
Magitek Missile,VI,Terra,SSB,NE,MAG,False
Fire Beam,VI,Terra,SSB,Fire,MAG,False
Blood of Espers,VI,Terra,BSB,Fire Water,MAG,False
Finding Love,VI,Terra,BSB,Fire,MAG,False
Scorching Flames,VI,Terra,OSB,Fire,MAG,True
Omen,VI,Terra,USB,Fire,MAG,False
Tornado Combo,VI,Terra,USB,Wind,MAG,False
Magitek Inferno,VI,Terra,USB,Fire,MAG,False
Riot Wind,VI,Terra,ASB,Wind,MAG,True
Inferno Combo,VI,Terra,ASB,Fire,MAG,True
Esper Flame,VI,Terra,GL,Fire,NA,True
Storm Harbinger,VI,Terra,GL,Wind,NA,False
Reviving Wind,VI,Terra,GL2,Wind,MAG,False
Illusory Flame,VI,Terra,GL2,Fire,NA,False
Violent Sword,VI,Terra,AW,Wind,MAG,False
Chaotic Inferno,VI,Terra,AW,Fire,MAG,True
Cross Meltdown,VI,Terra,AW,Fire Wind,MAG,False
Inferno Storm,VI,Terra,Sync,Fire Wind,MAG,True
Inferno Cross,VI,Terra,Sync,Fire,MAG,True
Riot Storm,VI,Terra,Sync,Wind,MAG,False
Half-Esper Might,VI,Terra,OLB,Fire Wind,MAG,False
Fire Raiment (Terra),VI,Terra,GLB,Fire,NA,True
Trance (Terra),VI,Terra,AD,Wind,MAG,False
Riot Blade,VI,Terra,AD,Fire,MAG,False
Guardian Maduin,VI,Terra,Guardian,Fire,MAG,False
Awoken Trance Fira,VI,Terra,DuAW,Fire,MAG,False
Mirage Dive,VI,Locke,Unique,NE,PHY,False
Phoenix Plunder,VI,Locke,Unique,Fire,PHY,False
Valiant Strike,VI,Locke,SSB,NE,PHY,False
Southern Cross,VI,Locke,SSB,Fire,PHY,False
Mirage Phoenix,VI,Locke,BSB,Fire Holy,PHY,False
On the Hunt,VI,Locke,BSB,Fire,PHY,True
Miracle of Kohlingen,VI,Locke,OSB,Fire Holy,PHY,False
